address,types,range,values,description
/config/linkcfg/preamp,i,{0..1},"OFF, ON","Link Pref - preamp"
/config/mute/1,i,{0..1},"OFF, ON","Mutegroup {0} Off/On"
/config/solo/busmode,i,{0..1},"PFL, AFL","Headphone source bus tap"
/config/solo/chmode,i,{0..1},"PFL, AFL","Headphone source channel tap"
/config/solo/dim,i,{0..1},"OFF, ON","Headphone Dim Off/On"
/config/solo/dimatt,f,{0.0..1.0},{-40..0},"Headphone Dim Gain"
/config/solo/dimpfl,i,{0..1},"OFF, ON","Headphone PFL-Dim"
/config/solo/level,f,{0.0..1.0},{-INF..10},"Headphone volume level"
/config/solo/mono,i,{0..1},"OFF, ON","Headphone Mono Off/On"
/config/solo/mute,i,{0..1},"OFF, ON","Headphone Mute Off/On"
/config/solo/source,i,{0..14},"OFF, LR, LRPFL, LRAFL, AUX, U1718, Bus1-6, Bus12, Bus34, Bus56","Headphone source"
/config/solo/sourcetrim,f,{0.0..1.0},{-18.0..12.0},"Headphone source trim"
/dca/{1..4}/config/color,i,{0..15},"OFF, RD, GN, YE, BL, MG, CY, WH, OFFi, RDi, GNi, YEi, BLi, MGi, CYi, WHi","DCA color"
/dca/{1..4}/config/name,s,,,"DCA name"
/dca/{1..4}/fader,f,{0.0..1.0},{-INF..10},"DCA fader level"
/dca/{1..4}/on,i,{0..1},"OFF, ON","DCA {0} Off/On"
/fx/{1..4}/insert,i,{0..1},"OFF, ON","FX slot {0} insert"
/fx/{1..4}/par/01,i,,,"FX slot {0} parameter value (see doc)"
/fx/{1..4}/type,i,{0..60},FX_TYPES,"FX slot {0} type (see doc)"
/fxsend/{1..4}/config/color,i,{0..15},"OFF, RD, GN, YE, BL, MG, CY, WH, OFFi, RDi, GNi, YEi, BLi, MGi, CYi, WHi","FX send color"
/fxsend/{1..4}/config/name,s,,,"FX send {0} name"
/fxsend/{1..4}/grp/dca,i,{0..3},"DCA1, DCA2, DCA3, DCA4","FX send {0} DCA assignment"
/fxsend/{1..4}/grp/mute,i,{0..3},"MG1, MG2, MG3, MG4","FX send {0} mutegroup assignment"
/fxsend/{1..4}/mix/fader,f,{0.0..1.0},{-INF..10},"FX send {0} fader level"
/fxsend/{1..4}/mix/on,i,{0..1},"OFF, ON","FX send {0} mute"
/headamp/01/gain,f,{0.0..1.0},{-12..20},"Headamp gain"
/headamp/01/phantom,i,{0..1},"OFF, ON","Headamp phantom Off/On"
/lr/config/color/,i,{0..15},"OFF, RD, GN, YE, BL, MG, CY, WH, OFFi, RDi, GNi, YEi, BLi, MGi, CYi, WHi","Main LR color"
/lr/config/name,s,,,"Main LR name"
/lr/dyne/attack,f,{0.0..1.0},{0.0..120.0},"Main LR compressor attack"
/lr/dyne/auto,i,{0..1},"OFF, ON","Main LR compressor auto"
/lr/dyne/det,i,{0..1},"PEAK, RMS","Main LR compressor ??"
/lr/dyne/env,i,{0..1},"LIN, LOG","Main LR compressor envelope"
/lr/dyne/filter/f,f,{0.0..1.0},{20..20000},"Main LR compressor filter frequency"
/lr/dyne/filter/on,i,{0..1},"OFF, ON","Main LR compressor filter Off/On"
/lr/dyne/filter/type,i,{0..8},"LC6, LC12, HC6, HC12, 1.0, 2.0, 3.0, 5.0, 10.0","Main LR compressor filter type"
/lr/dyne/hold,f,{0.0..1.0},{0.02..2000},"Main LR compressor hold"
/lr/dyne/insert/fxslot,i,{0..8},"OFF, FX1A, FX1B, FX2A, FX2B, FX3A, FX3B, FX4A, FX4B","Main LR compressor insert FX slot"
/lr/dyne/insert/on,i,{0..1},"OFF, ON","Main LR compressor insert Off/On"
/lr/dyne/keysrc,i,{0..22},"SELF, Ch01-Ch16, Bus1-Bus6","Main LR compressor keysource"
/lr/dyne/knee,f,{0.0..1.0},{0.0..5.0},"Main LR compressor knee"
/lr/dyne/mgain,f,{0.0..1.0},{0.0..24.0},"Main LR compressor makeup gain"
/lr/dyne/mix,f,{0.0..1.0},{0..100},"Main LR compressor mix"
/lr/dyne/mode,i,{0..1},"COMP, EXP","Main LR compressor mode"
/lr/dyne/on,i,{0..1},"OFF, ON","Main LR compressor Off/On"
/lr/dyne/ratio,i,{0..11},"1.1, 1.3, 1.5, 2.0, 2.5, 3.0, 4.0, 5.0, 7.0, 10, 20, 100","Main LR compressor ratio"
/lr/dyne/release,f,{0.0..1.0},{5.0..4000.0},"Main LR compressor release"
/lr/dyne/thr,f,{0.0..1.0},{-60.0..0.0},"Main LR compressor threshold"
/lr/eq/1/f,f,{0.0..1.0},{20..20000},"Main LR EQ frequency"
